# Expression Atlas			
"# Query: Genes matching: 'default query', specifically up/down differentially expressed in 1 comparisons  given the adjusted p-value cutoff 1 and log2-fold change cutoff 0 in experiment E-MTAB-1940"			
"# Timestamp: Mon, 08-Jan-2024 16:00:09"			
Gene ID	Gene Name	NMIBC' vs 'normal' .foldChange	NMIBC' vs 'normal'.pValue
ENSG00000196419	XRCC6	-0.5	0.022613363
ENSG00000196420	S100A5	-0.4	0.646994743
ENSG00000196421	C20orf204	0.4	0.503633374
ENSG00000196422	PPP1R26	0.2	0.527277667
ENSG00000196428	TSC22D2	-0.2	0.627715227
ENSG00000196431	CRYBA4	-0.5	0.521413477
ENSG00000196433	ASMT	-0.3	0.744989831
ENSG00000196436	NPIPB15	1.1	0.162746959
ENSG00000196437	ZNF569	0.2	0.476753101
ENSG00000196440	ARMCX4	-0.6	7.84E-04
ENSG00000196449	YRDC	-0.4	0.109001175
ENSG00000196453	ZNF777	-0.4	0.206715178
ENSG00000196455	PIK3R4	-0.2	0.099349903
ENSG00000196456	ZNF775	0.1	0.766137961
ENSG00000196458	ZNF605	0.1	0.641275079
ENSG00000196459	TRAPPC2	-0.2	0.325672533
ENSG00000196460	RFX8	-2.7	1.48E-09
ENSG00000196465	MYL6B	-0.6	0.065845121
ENSG00000196466	ZNF799	0.5	0.182160124
ENSG00000196468	FGF16	-0.7	0.409416362
ENSG00000196470	SIAH1	0.3	0.464288895
ENSG00000196476	C20orf96	0.1	0.72625173
ENSG00000196482	ESRRG	-1	0.015130301
ENSG00000196497	IPO4	-0.1	0.853813136
ENSG00000196498	NCOR2	-0.3	0.106278235
ENSG00000196502	SULT1A1	-0.4	0.070993837
ENSG00000196503	ARL9	-1.8	3.94E-05
ENSG00000196504	PRPF40A	0.6	0.055582737
ENSG00000196505	GDAP2	0.3	0.380624135
ENSG00000196507	TCEAL3	0.2	0.392779668
ENSG00000196510	ANAPC7	-0.4	3.12E-04
ENSG00000196511	TPK1	-0.2	0.481463359
ENSG00000196517	SLC6A9	1	0.003113402
ENSG00000196526	AFAP1	0.2	0.286954052
ENSG00000196531	NACA	0.4	0.02780186
ENSG00000196534	OR9K1P	1.1	0.189473292
ENSG00000196535	MYO18A	0.3	0.209117201
ENSG00000196542	SPTSSB	-2.2	2.40E-10
ENSG00000196544	BORCS6	-0.4	0.109680232
ENSG00000196547	MAN2A2	0.2	0.520842337
ENSG00000196549	MME	-0.8	0.048059224
ENSG00000196550	FAM72A	-0.3	0.694158672
ENSG00000196553	CCDC196	0.4	0.665638257
ENSG00000196557	CACNA1H	-0.3	0.601085151
ENSG00000196562	SULF2	0.8	3.14E-05
ENSG00000196565	HBG2	0.2	0.785904498
ENSG00000196569	LAMA2	0.5	0.107599113
ENSG00000196576	PLXNB2	0.4	0.145186973
ENSG00000196581	AJAP1	-0.9	0.001318303
ENSG00000196584	XRCC2	0.2	0.655474062
ENSG00000196586	MYO6	1.2	0.004059
ENSG00000196588	MRTFA	-0.4	0.304215164
ENSG00000196591	HDAC2	0.1	0.833763086
ENSG00000196593	ANKRD20A19P	-0.4	0.606278202
ENSG00000196597	ZNF782	-0.3	0.287817913
ENSG00000196600	SLC22A25	-1	0.144821744
ENSG00000196605	ZNF846	0.2	0.520842337
ENSG00000196616	ADH1B	2.2	5.31E-04
ENSG00000196628	TCF4	0.5	0.142855311
ENSG00000196636	SDHAF3	-0.3	0.189385724
ENSG00000196639	HRH1	-0.8	0.016541469
ENSG00000196642	RABL6	-0.5	0.092227392
ENSG00000196646	ZNF136	-0.5	0.026657543
ENSG00000196652	ZKSCAN5	-0.1	0.46187348
ENSG00000196653	ZNF502	0.1	0.847021205
ENSG00000196655	TRAPPC4	-0.4	0.006212123
ENSG00000196659	TTC30B	0.6	0.093517265
ENSG00000196660	SLC30A10	0.9	0.008793857
ENSG00000196663	TECPR2	0.2	0.338606927
ENSG00000196664	TLR7	1.3	0.06959048
ENSG00000196666	FAM180B	0.1	0.885104639
ENSG00000196668	LINC00173	0.9	6.49E-04
ENSG00000196670	ZFP62	0.6	0.002681593
ENSG00000196678	ERI2	0.5	0.12701132
ENSG00000196683	TOMM7	-0.1	0.766725303
ENSG00000196684	HSH2D	1.1	0.142855311
ENSG00000196689	TRPV1	0.6	1.63E-05
ENSG00000196693	ZNF33B	-0.6	1.80E-04
ENSG00000196696	PDXDC2P-NPIPB14P	0.8	0.056910097
ENSG00000196700	ZNF512B	-0.3	0.518968856
ENSG00000196704	AMZ2	0.1	0.436831626
ENSG00000196705	ZNF431	0.2	0.412196823
ENSG00000196711	ALKAL1	0.1	0.917604129
ENSG00000196712	NF1	0.1	0.862594626
ENSG00000196715	VKORC1L1	-0.3	0.088100832
ENSG00000196724	ZNF418	0.2	0.316873622
ENSG00000196730	DAPK1	-0.9	0.021762461
ENSG00000196735	HLA-DQA1	0.1	0.901775447
ENSG00000196739	COL27A1	0.6	4.11E-06
ENSG00000196741	LINC01560	0.6	0.243931363
ENSG00000196743	GM2A	0.8	3.78E-04
ENSG00000196754	S100A2	0.8	0.133287832
ENSG00000196756	SNHG17	-0.2	0.680392929
ENSG00000196757	ZNF700	0.5	0.017073029
ENSG00000196767	POU3F4	0.3	0.432850583
ENSG00000196776	CD47	-0.1	0.662908142
ENSG00000196781	TLE1	0.1	0.538854298
ENSG00000196782	MAML3	0.1	0.885826881
ENSG00000196787	H2AC11	1.9	0.004904501
ENSG00000196792	STRN3	0.3	0.36667748
ENSG00000196793	ZNF239	-0.2	0.694158672
ENSG00000196811	CHRNG	-0.3	0.733682433
ENSG00000196812	ZSCAN16	0.4	0.129073428
ENSG00000196814	MVB12B	0.8	9.42E-04
ENSG00000196821	ILRUN	-0.7	0.034618143
ENSG00000196839	ADA	1	0.013948983
ENSG00000196843	ARID5A	1	7.90E-06
ENSG00000196844	PATE2	-0.1	0.910943244
ENSG00000196850	PPTC7	-0.8	2.40E-05
ENSG00000196860	TOMM20L	-1.1	0.119751134
ENSG00000196865	NHLRC2	0.6	0.120123975
ENSG00000196867	ZFP28	0.2	0.258427763
ENSG00000196872	CRACDL	-1.1	0.023878865
ENSG00000196873	CBWD3	-0.7	0.22227768
ENSG00000196876	SCN8A	-1.5	8.37E-13
ENSG00000196878	LAMB3	-1.3	6.99E-04
ENSG00000196890	H2BU1	-0.1	0.869425238
ENSG00000196911	KPNA5	0.2	0.689284552
ENSG00000196912	ANKRD36B	-0.3	0.479718806
ENSG00000196914	ARHGEF12	0.1	0.805536843
ENSG00000196917	HCAR1	0.5	0.502475365
ENSG00000196922	ZNF252P	-0.2	0.115851194
ENSG00000196923	PDLIM7	-0.2	0.530823418
ENSG00000196924	FLNA	0.5	0.149512499
ENSG00000196932	TMEM26	-0.4	0.608686058
ENSG00000196935	SRGAP1	1.4	3.64E-04
ENSG00000196937	FAM3C	-1.3	3.45E-07
ENSG00000196950	SLC39A10	-1.4	9.80E-32
ENSG00000196951	SCOC-AS1	0.4	0.341583426
ENSG00000196954	CASP4	2	1.47E-16
ENSG00000196961	AP2A1	-0.8	0.044459773
ENSG00000196967	ZNF585A	0.3	0.195146794
ENSG00000196968	FUT11	0.1	0.781548989
ENSG00000196970	NXF4	0.9	0.25195369
ENSG00000196972	SMIM10L2B	-1.2	6.58E-04
ENSG00000196975	ANXA4	1	2.58E-04
ENSG00000196976	LAGE3	-0.7	0.025971982
ENSG00000196979	GPRACR	-1.6	0.045671903
ENSG00000196981	WDR5B	0.8	0.001357193
ENSG00000196990	FAM163B	-1.1	0.070070723
ENSG00000196998	WDR45	-0.2	0.606494615
ENSG00000197006	METTL9	0.1	0.575274773
ENSG00000197008	ZNF138	-0.2	0.586533161
ENSG00000197013	ZNF429	0.2	0.555649834
ENSG00000197016	ZNF470	0.2	0.501325414
ENSG00000197019	SERTAD1	1	1.37E-06
ENSG00000197020	ZNF100	0.5	0.181063926
ENSG00000197021	EOLA2	-0.7	0.021972177
ENSG00000197024	ZNF398	-0.4	0.078915361
ENSG00000197037	ZSCAN25	-0.5	0.052271977
ENSG00000197043	ANXA6	-1.5	1.87E-04
ENSG00000197044	ZNF441	-1	0.002319651
ENSG00000197045	GMFB	0.7	0.068968528
ENSG00000197046	SIGLEC15	-0.1	0.942238461
ENSG00000197050	ZNF420	-0.1	0.486414004
ENSG00000197054	ZNF763	0.3	0.407792786
ENSG00000197056	ZMYM1	0.8	0.001399769
ENSG00000197057	DTHD1	0.8	0.307882096
ENSG00000197061	H4C3	0.5	0.619451212
ENSG00000197062	ZSCAN26	0.2	0.137294933
ENSG00000197063	MAFG	-0.2	0.554497567
ENSG00000197070	ARRDC1	-0.1	0.815592084
ENSG00000197077	KIAA1671	-0.4	0.13855696
ENSG00000197081	IGF2R	0.2	0.209816327
ENSG00000197083	ZNF300P1	0.8	0.099349903
ENSG00000197085	NPSR1-AS1	-0.9	0.28319404
ENSG00000197093	GAL3ST4	1.4	1.17E-05
ENSG00000197099	ENSG00000197099	1.3	0.079798779
ENSG00000197102	DYNC1H1	-0.7	0.01174797
ENSG00000197106	SLC6A17	-1.5	6.97E-04
ENSG00000197111	PCBP2	0.1	0.341637934
ENSG00000197119	SLC25A29	0.2	0.215889578
ENSG00000197122	SRC	-0.6	0.050820639
ENSG00000197124	ZNF682	0.4	0.332824915
ENSG00000197128	ZNF772	0.3	0.313509783
ENSG00000197134	ZNF257	0.1	0.898708594
ENSG00000197136	PCNX3	0.1	0.805899858
ENSG00000197140	ADAM32	-1.1	4.22E-04
ENSG00000197142	ACSL5	1.6	2.66E-08
ENSG00000197147	LRRC8B	-0.6	0.002265038
ENSG00000197149	ENSG00000197149	0.6	0.47701333
ENSG00000197157	SND1	-0.4	0.233847484
ENSG00000197162	ZNF785	0.1	0.754840124
ENSG00000197165	SULT1A2	-0.5	0.155221757
ENSG00000197168	NEK5	0.7	0.064263449
ENSG00000197170	PSMD12	-0.5	0.083085273
ENSG00000197177	ADGRA1	-0.9	6.84E-04
ENSG00000197181	PIWIL2	0.8	0.105990001
ENSG00000197182	MIRLET7BHG	0.6	0.01011133
ENSG00000197183	NOL4L	0.3	0.319108822
ENSG00000197208	SLC22A4	0.2	0.63482045
ENSG00000197213	ZSCAN5B	-1.8	0.017517901
ENSG00000197217	ENTPD4	-0.9	4.27E-07
ENSG00000197223	C1D	-0.2	0.516427434
ENSG00000197226	TBC1D9B	0.2	0.053375358
ENSG00000197245	FAM110D	0.6	0.263320879
ENSG00000197249	SERPINA1	2.6	1.75E-04
ENSG00000197251	LINC00336	-0.2	0.812748193
ENSG00000197256	KANK2	0.9	1.02E-04
ENSG00000197258	EIF4BP6	0.6	0.094912561
ENSG00000197261	C6orf141	-0.5	0.278410055
ENSG00000197279	ZNF165	-0.6	0.110559993
ENSG00000197283	SYNGAP1	-0.6	0.04315112
ENSG00000197291	RAMP2-AS1	0.9	0.088619697
ENSG00000197296	FITM2	-0.6	0.02430185
ENSG00000197299	BLM	1.4	1.47E-05
ENSG00000197302	ZNF720	-0.5	0.055139328
ENSG00000197312	DDI2	-0.3	0.018496887
ENSG00000197321	SVIL	0.4	0.166070978
ENSG00000197322	C17orf102	-2.5	6.48E-13
ENSG00000197323	TRIM33	0.3	0.493604843
ENSG00000197324	LRP10	1.4	4.11E-04
ENSG00000197329	PELI1	1	3.91E-04
ENSG00000197332	ENSG00000197332	-0.1	0.850280141
ENSG00000197345	MRPL21	-0.3	0.119981615
ENSG00000197355	UAP1L1	0.6	0.020718679
ENSG00000197358	BNIP3P1	1	0.139358098
ENSG00000197360	ZNF98	0.2	0.814398078
ENSG00000197361	FBXL22	0.2	0.643817456
ENSG00000197362	ZNF786	-0.8	0.048095933
ENSG00000197363	ZNF517	-0.4	0.125085577
ENSG00000197372	ZNF675	-0.3	0.088212611
ENSG00000197375	SLC22A5	0.5	0.09414156
ENSG00000197376	ENSG00000197376	0.2	0.846824009
ENSG00000197381	ADARB1	-1.3	1.98E-04
ENSG00000197385	ZNF860	-0.9	0.067304436
ENSG00000197386	HTT	-0.5	0.21338799
ENSG00000197405	C5AR1	1	0.074430043
ENSG00000197406	DIO3	-0.3	0.655432545
ENSG00000197410	DCHS2	1	0.036755805
ENSG00000197415	VEPH1	-0.1	0.919874183
ENSG00000197417	SHPK	0.8	0.046144543
ENSG00000197429	IPP	0.6	0.03110338
ENSG00000197430	OPALIN	1.2	0.011310669
ENSG00000197442	MAP3K5	0.4	0.247581001
ENSG00000197444	OGDHL	-1.4	1.40E-06
ENSG00000197448	GSTK1	0.1	0.587476751
ENSG00000197451	HNRNPAB	-0.1	0.801102345
ENSG00000197457	STMN3	-1	0.001416966
ENSG00000197461	PDGFA	0.4	6.57E-04
ENSG00000197465	GYPE	-0.3	0.687019628
ENSG00000197467	COL13A1	-1.4	2.29E-04
ENSG00000197471	SPN	1.1	0.011264968
ENSG00000197472	ZNF695	0.4	0.670199342
ENSG00000197479	PCDHB11	-0.3	0.377801198
ENSG00000197483	ZNF628	-0.3	0.433607403
ENSG00000197496	SLC2A10	1.6	0.00222452
ENSG00000197497	ZNF665	0.6	0.155873242
ENSG00000197498	RPF2	-0.1	0.532285702
ENSG00000197506	SLC28A3	1.4	0.071399942
ENSG00000197520	FAM177B	1.2	0.077927867
ENSG00000197530	MIB2	-0.5	0.225662116
ENSG00000197535	MYO5A	-1.1	3.27E-09
ENSG00000197536	IRF1-AS1	0.5	0.072262275
ENSG00000197540	GZMM	0.5	0.490123162
ENSG00000197548	ATG7	-0.8	7.71E-04
ENSG00000197555	SIPA1L1	-0.6	8.23E-06
ENSG00000197558	SSPOP	0.5	0.113511721
ENSG00000197562	RAB40C	-1.2	1.35E-04
ENSG00000197563	PIGN	0.6	0.033999935
ENSG00000197565	COL4A6	0.9	0.222753954
ENSG00000197566	ZNF624	0.8	0.036674601
ENSG00000197568	HHLA3	0.5	0.002171738
ENSG00000197579	TOPORS	0.6	0.060155732
ENSG00000197584	KCNMB2	-0.1	0.815247064
ENSG00000197586	ENTPD6	-1	0.019736695
ENSG00000197594	ENPP1	1.2	0.009208668
ENSG00000197599	CCDC154	0.5	0.198353933
ENSG00000197601	FAR1	0.6	0.147212371
ENSG00000197603	CPLANE1	-0.4	0.012870362
ENSG00000197608	ZNF841	0.6	0.008395453
ENSG00000197614	MFAP5	1.1	0.132061242
ENSG00000197616	MYH6	-0.3	0.776202724
ENSG00000197619	ZNF615	0.3	0.36260369
ENSG00000197620	EOLA1	-0.8	0.079575307
ENSG00000197622	CDC42SE1	0.6	0.004401161
ENSG00000197629	MPEG1	-0.9	0.093498662
ENSG00000197632	SERPINB2	-0.5	0.546169711
ENSG00000197635	DPP4	-1.1	0.008200915
ENSG00000197646	PDCD1LG2	0.9	0.2304426
ENSG00000197647	ZNF433	-0.1	0.846512126
ENSG00000197653	DNAH10	-0.5	0.248690985
ENSG00000197670	ENSG00000197670	0.2	0.85628493
ENSG00000197694	SPTAN1	-0.9	0.023916922
ENSG00000197696	NMB	0.6	0.120946799
ENSG00000197702	PARVA	0.4	0.195247029
ENSG00000197705	KLHL14	-1	0.129635989
ENSG00000197712	FAM114A1	1.1	1.58E-05
ENSG00000197713	RPE	0.2	0.519978905
ENSG00000197714	ZNF460	0.2	0.552026398
ENSG00000197724	PHF2	0.8	2.96E-05
ENSG00000197728	RPS26	0.5	0.223359129
ENSG00000197744	PTMAP2	0.7	0.26087492
ENSG00000197746	PSAP	-0.4	0.168355235
ENSG00000197747	S100A10	1.3	1.47E-04
ENSG00000197748	CFAP43	0.2	0.523846836
ENSG00000197753	LHFPL5	-1.3	0.01943629
ENSG00000197756	RPL37A	0.4	0.095830424
ENSG00000197763	TXNRD3	0.6	0.137571017
ENSG00000197766	CFD	0.9	0.066202053
ENSG00000197768	STPG3	0.3	0.721535136
ENSG00000197769	MAP1LC3C	-0.5	0.480739881
ENSG00000197771	MCMBP	0.7	0.001792575
ENSG00000197776	KLHDC1	0.1	0.832260221
ENSG00000197779	ZNF81	0.5	0.125088239
ENSG00000197785	ATAD3A	-0.2	0.513378455
ENSG00000197798	FAM118B	0.3	0.083858237
ENSG00000197808	ZNF461	-0.1	0.814734184
ENSG00000197813	ENSG00000197813	0.2	0.852686187
ENSG00000197815	ENSG00000197815	1	0.00637436
ENSG00000197818	SLC9A8	-0.2	0.340305794
ENSG00000197822	OCLN	0.2	0.786413591
ENSG00000197826	CFAP299	-0.9	0.281943871
ENSG00000197837	H4-16	-0.6	0.233682973
ENSG00000197841	ZNF181	0.5	0.092291218
ENSG00000197847	SLC22A20P	-0.3	0.736551828
ENSG00000197852	INKA2	-1.2	0.015114585
ENSG00000197857	ZNF44	0.2	0.485590464
ENSG00000197858	GPAA1	-0.2	0.546698441
ENSG00000197859	ADAMTSL2	-0.2	0.792059928
ENSG00000197860	SGTB	-1.6	2.66E-13
ENSG00000197863	ZNF790	0.4	0.189748302
ENSG00000197872	CYRIA	-1	4.00E-12
ENSG00000197879	MYO1C	0.7	0.00501173
ENSG00000197885	NKIRAS1	-1.2	1.51E-06
ENSG00000197889	MEIG1	0.7	0.092291218
ENSG00000197892	KIF13B	1.1	0.002484821
ENSG00000197893	NRAP	0.4	0.371263568
ENSG00000197894	ADH5	0.5	0.019058422
ENSG00000197901	SLC22A6	0.5	0.448768301
ENSG00000197903	H2BC12	-0.1	0.904485985
ENSG00000197905	TEAD4	0.8	0.133434908
ENSG00000197912	SPG7	-0.2	0.365537751
ENSG00000197915	HRNR	-0.6	0.404210087
ENSG00000197921	HES5	1	0.046332649
ENSG00000197927	NBEAP2	-0.4	0.294645935
ENSG00000197928	ZNF677	1.3	2.98E-04
ENSG00000197930	ERO1A	-0.2	0.464683958
ENSG00000197933	ZNF823	0.1	0.804642607
ENSG00000197934	CYYR1-AS1	-0.9	0.255373566
ENSG00000197935	ZNF311	0.7	0.137639288
ENSG00000197937	ZNF347	0.6	0.022251868
ENSG00000197943	PLCG2	1.2	2.24E-04
ENSG00000197948	FCHSD1	0.5	0.003669905
ENSG00000197951	ZNF71	-0.4	0.074112466
ENSG00000197956	S100A6	-0.2	0.638046787
ENSG00000197958	RPL12	0.5	0.001039389
ENSG00000197959	DNM3	-0.4	0.339417092
ENSG00000197961	ZNF121	0.6	0.01420387
ENSG00000197965	MPZL1	1.1	1.37E-12
ENSG00000197969	VPS13A	-0.7	0.013176628
ENSG00000197971	MBP	2.4	6.05E-10
ENSG00000197976	AKAP17A	0.3	0.22294467
ENSG00000197977	ELOVL2	1.1	0.063930895
ENSG00000197978	GOLGA6L9	0.2	0.677885895
ENSG00000197980	LEKR1	0.8	0.141100314
ENSG00000197982	C1orf122	0.1	0.6126172
ENSG00000197989	SNHG12	0.3	0.084002606
ENSG00000197992	CLEC9A	-0.1	0.847705644
ENSG00000197993	KEL	1.1	6.20E-04
ENSG00000198000	NOL8	0.5	0.004131467
ENSG00000198001	IRAK4	1	5.62E-11
ENSG00000198003	ODAD3	-0.1	0.791206808
ENSG00000198010	DLGAP2	-1.3	1.64E-04
ENSG00000198015	MRPL42	-0.2	0.465722366
ENSG00000198019	FCGR1B	0.8	0.316068605
ENSG00000198026	ZNF335	-0.5	0.194524946
ENSG00000198034	RPS4X	0.6	0.001546952
ENSG00000198039	ZNF273	-0.4	0.06870991
ENSG00000198040	ZNF84	0.1	0.615085918
ENSG00000198042	MAK16	-0.1	0.827193065
ENSG00000198046	ZNF667	-0.5	9.19E-04
ENSG00000198053	SIRPA	-0.4	0.002334009
ENSG00000198055	GRK6	-0.6	0.049220684
ENSG00000198056	PRIM1	-0.4	0.430822825
ENSG00000198060	MARCHF5	0.1	0.758178036
ENSG00000198064	NPIPB13	0.1	0.9491219
ENSG00000198075	SULT1C4	1.3	7.89E-04
ENSG00000198077	CYP2A7	-0.3	0.581253617
ENSG00000198081	ZBTB14	0.8	0.025828813
ENSG00000198087	CD2AP	0.6	0.099236473
ENSG00000198088	NUP62CL	1.7	0.030312712
ENSG00000198089	SFI1	-0.5	0.103064326
ENSG00000198093	ZNF649	1	0.003953759
ENSG00000198104	OR2T6	-2.4	6.24E-04
ENSG00000198105	ZNF248	-0.2	0.128459051
ENSG00000198108	CHSY3	-0.8	4.76E-04
ENSG00000198113	TOR4A	1.2	0.003388254
ENSG00000198121	LPAR1	2.3	8.36E-08
ENSG00000198125	MB	0.6	0.432271191
ENSG00000198128	OR2L3	-1	0.173678179
ENSG00000198130	HIBCH	1.1	2.78E-04
ENSG00000198131	ZNF544	-0.4	0.150320345
ENSG00000198133	TMEM229B	-0.6	0.013503204
ENSG00000198134	PTMAP9	0.9	0.22967071
ENSG00000198142	SOWAHC	1.3	0.001100761
ENSG00000198146	ZNF770	-0.5	0.182529357
ENSG00000198155	ZNF876P	-0.4	0.379508355
ENSG00000198156	NPIPB6	1	0.139113404
ENSG00000198157	HMGN5	1.5	5.14E-04
ENSG00000198160	MIER1	0.6	0.109009791
ENSG00000198169	ZNF251	-0.3	0.056300822
ENSG00000198171	DDRGK1	-0.1	0.743984662
ENSG00000198176	TFDP1	0.4	0.005664172
ENSG00000198182	ZNF607	-0.2	0.404966621
ENSG00000198185	ZNF334	0.1	0.671228268
ENSG00000198189	HSD17B11	0.2	0.451116756
ENSG00000198198	SZT2	0.3	0.093779011
ENSG00000198203	SULT1C2	1.7	0.034114545
ENSG00000198205	ZXDA	0.5	0.103133283
ENSG00000198208	RPS6KL1	-0.7	0.028651866
ENSG00000198216	CACNA1E	-1	0.017051887
ENSG00000198218	QRICH1	-0.4	0.003615778
ENSG00000198221	AFDN-DT	1.3	0.001100761
ENSG00000198223	CSF2RA	0.5	0.429110173
ENSG00000198225	FKBP1C	0.4	0.585137278
ENSG00000198231	DDX42	-0.2	0.346312369
ENSG00000198237	GUSBP13	1.1	0.161748012
ENSG00000198242	RPL23A	0.6	4.07E-06
ENSG00000198246	SLC29A3	0.2	0.63549329
ENSG00000198252	STYX	0.9	0.014134117
ENSG00000198258	UBL5	-0.2	0.25195369
ENSG00000198265	HELZ	0.4	0.120907634
ENSG00000198270	TMEM116	0.6	0.008233993
ENSG00000198276	UCKL1	0.2	0.527740228
ENSG00000198286	CARD11	0.1	0.853484719
ENSG00000198298	ZNF485	0.1	0.83976401
ENSG00000198300	PEG3	-0.9	7.41E-08
ENSG00000198301	SDAD1	-0.5	0.005806797
ENSG00000198315	ZKSCAN8	0.6	0.069874437
ENSG00000198324	PHETA1	0.2	0.410670021
ENSG00000198331	HYLS1	-0.8	0.0058745
ENSG00000198336	MYL4	2.1	0.003201007
ENSG00000198342	ZNF442	0.5	0.197775802
ENSG00000198346	ZNF813	1.3	5.80E-06
ENSG00000198354	DCAF12L2	-0.6	0.316274684
ENSG00000198355	PIM3	-0.1	0.485381745
ENSG00000198356	GET3	-0.6	0.061973007
ENSG00000198363	ASPH	0.6	0.136998853
ENSG00000198369	SPRED2	-0.3	0.25751619
ENSG00000198373	WWP2	0.1	0.642328387
ENSG00000198380	GFPT1	-0.5	0.001071262
ENSG00000198382	UVRAG	0.2	0.584902572
ENSG00000198393	ZNF26	-0.1	0.565764555
ENSG00000198400	NTRK1	0.8	0.208262247
ENSG00000198416	ZNF658B	-0.1	0.946692977
ENSG00000198417	MT1F	1.2	0.009816359
ENSG00000198420	TCAF1	-0.8	1.98E-04
ENSG00000198429	ZNF69	0.7	0.046457338
ENSG00000198431	TXNRD1	0.1	0.763886738
ENSG00000198435	NRARP	0.7	0.237284505
ENSG00000198440	ZNF583	-0.2	0.533380688
ENSG00000198453	ZNF568	0.1	0.724470779
ENSG00000198455	ZXDB	-0.2	0.678274717
ENSG00000198464	ZNF480	0.5	0.203219341
ENSG00000198466	ZNF587	-0.2	0.461622615
ENSG00000198467	TPM2	0.5	4.79E-04
ENSG00000198468	FLVCR1-DT	0.5	0.381680447
ENSG00000198478	SH3BGRL2	-0.8	1.01E-05
ENSG00000198482	ZNF808	0.4	0.272772627
ENSG00000198483	ANKRD35	0.2	0.250122775
ENSG00000198488	B3GNT6	0.4	0.686031161
ENSG00000198492	YTHDF2	-0.5	1.70E-05
ENSG00000198496	NBR2	0.3	0.462618496
ENSG00000198498	TMA16	0.1	0.760902371
ENSG00000198502	HLA-DRB5	0.8	0.23958169
ENSG00000198513	ATL1	-1.3	4.76E-05
ENSG00000198515	CNGA1	-1	0.077821807
ENSG00000198517	MAFK	0.6	7.96E-05
ENSG00000198520	ARMH1	0.7	0.092130601
ENSG00000198522	GPN1	-0.2	0.327115279
ENSG00000198523	PLN	0.3	0.711773406
ENSG00000198535	C2CD4A	-0.2	0.795598214
ENSG00000198538	ZNF28	0.8	0.001077021
ENSG00000198542	ITGBL1	0.3	0.721606359
ENSG00000198546	ZNF511	-0.2	0.337848271
ENSG00000198547	C20orf203	-0.6	0.189647474
ENSG00000198551	ZNF627	0.2	0.411472538
ENSG00000198553	KCNRG	0.5	0.527074553
ENSG00000198556	ZNF789	0.4	0.039075224
ENSG00000198561	CTNND1	0.5	0.078611914
ENSG00000198563	DDX39B	0.5	0.031310263
ENSG00000198569	SLC34A3	0.8	0.06076053
ENSG00000198576	ARC	-0.6	0.265280418
ENSG00000198580	ENSG00000198580	-0.3	0.478936728
ENSG00000198585	NUDT16	0.8	4.65E-04
ENSG00000198586	TLK1	-0.2	0.292637643
ENSG00000198589	LRBA	0.2	0.515437902
ENSG00000198590	C3orf35	-0.2	0.764259156
ENSG00000198597	ZNF536	0.9	0.014841909
ENSG00000198598	MMP17	-0.8	0.001332261
ENSG00000198604	BAZ1A	2.3	8.10E-09
ENSG00000198612	COPS8	-0.4	0.019592845
ENSG00000198618	PPIAP22	-1	9.81E-04
ENSG00000198624	CCDC69	-0.2	0.425737005
ENSG00000198625	MDM4	0.8	0.008234931
ENSG00000198626	RYR2	-1.5	2.39E-10
ENSG00000198633	ZNF534	0.3	0.522858672
ENSG00000198642	KLHL9	0.1	0.71664398
ENSG00000198648	STK39	-0.1	0.861977894
ENSG00000198658	ABHD17AP1	0.1	0.850610877
ENSG00000198663	C6orf89	-0.1	0.722142508
ENSG00000198668	CALM1	-0.9	3.03E-08
ENSG00000198670	LPA	0.5	0.425238617
ENSG00000198673	TAFA2	-1.5	3.92E-06
ENSG00000198677	TTC37	-0.1	0.703315677
ENSG00000198680	TUSC1	-0.2	0.455735337
ENSG00000198682	PAPSS2	0.4	0.294229666
ENSG00000198689	SLC9A6	-0.9	1.20E-08
ENSG00000198690	FAN1	0.2	0.422522813
ENSG00000198691	ABCA4	-0.5	0.349502256
ENSG00000198695	MT-ND6	2.1	0.001079872
ENSG00000198700	IPO9	-0.4	0.040382127
ENSG00000198707	CEP290	0.1	0.7203156
ENSG00000198711	SSBP3-AS1	0.1	0.932027963
ENSG00000198712	MT-CO2	1.2	0.004893812
ENSG00000198715	GLMP	-0.1	0.853813136
ENSG00000198718	TOGARAM1	-0.5	0.010787141
ENSG00000198719	DLL1	1.1	2.74E-04
ENSG00000198721	ECI2	0.8	0.002665904
ENSG00000198722	UNC13B	-0.5	0.003925006
ENSG00000198723	TEX45	0.3	0.545434838
ENSG00000198727	MT-CYB	1.4	0.002620594
ENSG00000198728	LDB1	-0.6	0.061391007
ENSG00000198729	PPP1R14C	-1.3	5.69E-08
ENSG00000198730	CTR9	-0.1	0.600383596
ENSG00000198732	SMOC1	1.8	3.47E-09
ENSG00000198734	F5	-0.1	0.76439768
ENSG00000198736	MSRB1	0.4	0.002629485
ENSG00000198739	LRRTM3	-0.6	0.001860883
ENSG00000198740	ZNF652	1.4	1.51E-08
ENSG00000198742	SMURF1	-0.1	0.608057955
ENSG00000198743	SLC5A3	-0.3	0.205547244
ENSG00000198746	GPATCH3	-0.4	0.174724456
ENSG00000198752	CDC42BPB	0.1	0.878196477
ENSG00000198753	PLXNB3	1.1	4.06E-04
ENSG00000198754	OXCT2	-0.3	0.602953251
ENSG00000198755	RPL10A	0.1	0.566578826
